IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
425.873;56.9001503764826;52.493;39.998
426.861;56.9213007059407;52.492;39.996
427.85;56.89745098839;52.49;39.994
428.841;56.92145098839;52.491;39.994
429.824;56.8869247941197;52.495;40.001
430.821;56.887;52.497;40
431.823;56.8981503764826;52.495;39.998
432.804;56.8739247941197;52.499;40.001
433.822;56.8833007059408;52.495;39.996
434.809;56.8721503764826;52.497;39.998
435.809;56.874;52.5;40
436.797;56.8626991058993;52.503;40.004
437.796;56.8709247941197;52.501;40.001
438.779;56.8660751941203;52.501;39.999
439.767;56.861;52.502;40
440.762;56.8516238529595;52.508;40.005
441.742;56.8446991058993;52.507;40.004
442.73;56.8379247941197;52.505;40.001
443.74;56.8449247941197;52.506;40.001
444.751;56.8413007059407;52.501;39.996
445.738;56.8282255470888;52.504;39.997
446.731;56.8377743470713;52.51;40.003
447.728;56.8172255470888;52.505;39.997
448.739;56.8519247941197;52.509;40.001
449.722;56.8288495764774;52.51;40.002
450.72;56.8390751941203;52.509;39.999
451.719;56.8237743470713;52.513;40.003
452.724;56.8096991058993;52.514;40.004
453.703;56.8150751941203;52.512;39.999
454.684;56.8167743470713;52.516;40.003
455.706;56.7798495764774;52.515;40.002
456.699;56.8144733117689;52.521;40.007
457.701;56.7966991058993;52.517;40.004
458.691;56.7989247941197;52.516;40.001
459.692;56.7898495764774;52.519;40.002
460.68;56.7789247941197;52.518;40.001
461.682;56.78154858825;52.522;40.006
462.676;56.777;52.517;40
463.668;56.7679247941197;52.52;40.001
464.659;56.7816238529595;52.522;40.005
465.653;56.7699247941197;52.519;40.001
466.635;56.7692255470888;52.517;39.997
467.636;56.7591503764826;52.517;39.998
468.63;56.7621503764826;52.519;39.998
469.627;56.7536012238459;52.512;39.992
470.632;56.7388495764774;52.523;40.002
471.632;56.7500751941203;52.521;39.999
472.618;56.7343758530405;52.519;39.995
473.63;56.7169247941197;52.524;40.001
474.622;56.7522255470888;52.523;39.997
475.621;56.74;52.524;40
476.604;56.7131503764826;52.523;39.998
477.618;56.72145098839;52.52;39.994
478.626;56.7182255470888;52.524;39.997
479.629;56.7106012238459;52.52;39.992
480.61;56.7113758530405;52.522;39.995
481.597;56.7072255470888;52.524;39.997
482.587;56.7051503764826;52.526;39.998
483.586;56.71045098839;52.524;39.994
484.588;56.7063007059408;52.527;39.996
485.576;56.6892255470888;52.528;39.997
486.576;56.6875261119911;52.525;39.993
487.573;56.6813758530405;52.526;39.995
488.575;56.6903007059408;52.528;39.996
489.559;56.6933758530405;52.527;39.995
490.557;56.6945261119911;52.527;39.993
491.553;56.6853007059408;52.53;39.996
492.555;56.6815261119911;52.527;39.993
493.556;56.68145098839;52.529;39.994
494.546;56.6763758530405;52.53;39.995
495.556;56.6613758530405;52.531;39.995
496.548;56.6492255470888;52.534;39.997
497.542;56.6742255470888;52.533;39.997
498.535;56.6546763239562;52.529;39.991
499.509;56.6606012238459;52.531;39.992
500.504;56.6523758530405;52.534;39.995
501.489;56.6380751941203;52.537;39.999
502.476;56.6386012238459;52.533;39.992
503.475;56.63645098839;52.535;39.994
504.477;56.6378264889513;52.532;39.989
505.487;56.6483758530405;52.537;39.995
506.481;56.6265261119911;52.535;39.993
507.48;56.6256012238459;52.535;39.992
508.484;56.61445098839;52.538;39.994
509.499;56.6165261119911;52.537;39.993
510.49;56.608751412324;52.535;39.99
511.474;56.6113758530405;52.54;39.995
512.484;56.6142255470888;52.543;39.997
513.499;56.5973758530405;52.542;39.995
514.488;56.6005261119911;52.54;39.993
515.493;56.5916012238459;52.541;39.992
516.494;56.5762255470888;52.544;39.997
517.487;56.6003758530405;52.544;39.995
518.473;56.5816763239562;52.541;39.991
519.465;56.5938264889513;52.54;39.989
520.457;56.5683758530405;52.546;39.995
521.431;56.5793758530405;52.546;39.995
522.444;56.5645261119911;52.545;39.993
523.446;56.56945098839;52.547;39.994
524.456;56.56545098839;52.546;39.994
525.477;56.5706012238459;52.546;39.992
526.483;56.5476012238459;52.546;39.992
527.487;56.5676012238459;52.546;39.992
528.474;56.5586012238459;52.547;39.992
529.472;56.5536763239562;52.547;39.991
530.458;56.54545098839;52.549;39.994
531.451;56.5315261119911;52.549;39.993
532.456;56.5226763239562;52.548;39.991
533.456;56.5283758530405;52.551;39.995
534.436;56.5276012238459;52.55;39.992
535.443;56.5326012238459;52.55;39.992
536.458;56.5286012238459;52.551;39.992
537.46;56.5378264889513;52.55;39.989
538.467;56.5233758530405;52.554;39.995
539.481;56.509751412324;52.55;39.99
540.473;56.5098264889513;52.549;39.989
541.476;56.4969766069918;52.548;39.987
542.48;56.5059015538399;52.55;39.988
543.479;56.5068264889513;52.552;39.989
544.484;56.5136012238459;52.554;39.992
545.462;56.49845098839;52.557;39.994
546.477;56.4931266780935;52.55;39.985
547.475;56.4919015538399;52.553;39.988
548.471;56.4943007059407;52.56;39.996
549.455;56.482751412324;52.555;39.99
550.437;56.4889015538399;52.554;39.988
551.432;56.4779766069918;52.554;39.987
552.434;56.4762016960471;52.551;39.984
553.425;56.4641266780935;52.553;39.985
554.427;56.4692016960471;52.552;39.984
555.423;56.4782016960471;52.553;39.984
556.41;56.4531266780935;52.555;39.985
557.409;56.4559766069918;52.557;39.987
558.405;56.4858264889513;52.558;39.989
559.409;56.4584266795423;52.553;39.981
560.422;56.4591266780935;52.555;39.985
561.417;56.4443516967696;52.554;39.982
562.42;56.4472016960471;52.556;39.984
563.404;56.4519766069918;52.558;39.987
564.403;56.4392767022718;52.557;39.983
565.389;56.43065155753;52.553;39.978
566.37;56.4372767022718;52.557;39.983
567.376;56.4362767022718;52.558;39.983
568.361;56.4292767022718;52.558;39.983
569.354;56.4241266780935;52.56;39.985
570.355;56.4300516484091;52.561;39.986
571.363;56.4101266780935;52.561;39.985
572.374;56.4283516967696;52.559;39.982
573.362;56.4273516967696;52.56;39.982
574.365;56.4161266780935;52.563;39.985
575.339;56.4172767022718;52.562;39.983
576.35;56.4091266780935;52.562;39.985
577.35;56.3979766069918;52.566;39.987
578.356;56.4142016960471;52.563;39.984
579.364;56.3964266795423;52.562;39.981
580.342;56.4042767022718;52.564;39.983
581.355;56.4022016960471;52.565;39.984
582.37;56.3892767022718;52.563;39.983
583.376;56.4004266795423;52.563;39.981
584.377;56.3991266780935;52.568;39.985
585.363;56.3801266780935;52.568;39.985
586.348;56.3871266780935;52.567;39.985
587.343;56.3925766099206;52.563;39.979
588.331;56.3965766099206;52.564;39.979
589.321;56.3882016960471;52.567;39.984
590.318;56.3801266780935;52.569;39.985
591.323;56.3884266795423;52.567;39.981
592.326;56.3852016960471;52.571;39.984
593.317;56.3651266780935;52.571;39.985
594.316;56.3601266780935;52.572;39.985
595.317;56.3591266780935;52.572;39.985
596.306;56.3702016960471;52.571;39.984
597.3;56.3654266795423;52.569;39.981
598.298;56.3612767022718;52.571;39.983
599.304;56.354501650592;52.57;39.98
600.317;56.3552016960471;52.574;39.984
601.305;56.3440516484091;52.576;39.986
602.318;56.3422767022718;52.574;39.983
