IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
755.653;60.292;26.265;15.015
756.646;60.28;26.266;15.015
757.684;60.37;26.267;15.017
758.68;60.389;26.269;15.018
759.744;60.326;26.244;14.998
760.728;60.302;26.243;14.997
761.755;60.371;26.243;14.998
762.764;60.225;26.243;14.997
763.762;60.437;26.241;14.996
764.788;60.328;26.243;14.998
765.824;60.214;26.245;14.998
766.807;60.321;26.244;14.998
767.794;60.402;26.244;14.999
768.78;60.272;26.246;14.999
769.773;60.371;26.248;15.001
770.774;60.387;26.249;15.002
771.785;60.347;26.249;15.001
772.806;60.288;26.253;15.004
773.808;60.288;26.253;15.005
774.798;60.255;26.256;15.007
775.776;60.412;26.25;15.003
776.777;60.278;26.251;15.003
777.769;60.375;26.253;15.004
778.791;60.219;26.252;15.004
779.777;60.279;26.254;15.005
780.768;60.243;26.254;15.005
781.778;60.219;26.254;15.006
782.778;60.255;26.256;15.007
783.783;60.196;26.258;15.009
784.793;60.151;26.26;15.01
785.809;60.263;26.259;15.01
786.793;60.188;26.259;15.01
787.818;60.219;26.259;15.009
788.804;60.153;26.255;15.006
789.809;60.232;26.256;15.007
790.817;60.267;26.258;15.008
791.826;60.227;26.259;15.01
792.803;60.199;26.262;15.011
793.858;60.181;26.262;15.011
794.855;60.107;26.263;15.012
795.862;60.119;26.263;15.012
796.875;60.193;26.262;15.012
797.858;60.2;26.263;15.012
798.854;60.272;26.262;15.011
799.855;60.143;26.262;15.011
800.948;60.523;26.265;15.012
801.956;60.223;26.231;14.988
802.972;60.25;26.229;14.986
803.969;60.188;26.229;14.987
804.951;60.317;26.227;14.985
805.94;60.216;26.228;14.985
806.94;60.232;26.225;14.983
807.935;60.219;26.227;14.985
808.928;60.162;26.225;14.983
809.944;60.316;26.226;14.984
810.935;60.255;26.227;14.984
811.919;60.127;26.227;14.985
812.921;60.249;26.231;14.987
813.917;60.306;26.229;14.987
814.916;60.11;26.229;14.986
815.9;60.177;26.231;14.987
816.885;60.209;26.23;14.987
817.878;60.049;26.229;14.985
818.878;60.149;26.227;14.984
819.884;60.157;26.225;14.984
820.873;60.199;26.227;14.985
821.864;60.179;26.224;14.983
822.872;60.195;26.253;15.003
823.853;60.158;26.249;15.001
824.863;60.013;26.249;15
825.86;60.073;26.248;15
826.843;60.12;26.248;15
827.839;60.085;26.246;14.999
828.819;60.193;26.249;15.001
829.842;60.13;26.248;15.001
830.887;60.141;26.247;15
831.883;60.046;26.251;15.003
832.896;60.136;26.247;15
833.902;60.093;26.251;15.003
834.909;60.027;26.252;15.003
835.922;60.006;26.254;15.004
836.935;60.04;26.254;15.004
837.919;60.037;26.255;15.006
838.924;60.054;26.256;15.007
839.941;59.996;26.257;15.007
840.933;60.089;26.258;15.008
841.919;59.997;26.256;15.007
842.936;60.092;26.253;15.004
843.922;60.077;26.251;15.003
844.935;60.037;26.25;15.001
845.942;60.024;26.252;15.003
846.937;59.971;26.252;15.003
847.958;60.034;26.252;15.004
848.966;60.053;26.252;15.003
849.947;60.03;26.254;15.005
850.945;60.041;26.254;15.005
