IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
633.026;61.003;26.225;14.992
634.037;61.001;26.226;14.992
635.046;61.01;26.225;14.992
636.051;61.092;26.226;14.993
637.101;60.992;26.227;14.993
638.095;61.062;26.225;14.992
639.112;60.888;26.227;14.992
640.101;60.91;26.226;14.992
641.097;60.975;26.228;14.994
642.079;60.956;26.228;14.994
643.065;60.915;26.228;14.993
644.064;60.955;26.226;14.992
645.077;60.982;26.224;14.991
646.071;60.904;26.224;14.99
647.061;60.946;26.223;14.99
648.067;60.869;26.222;14.988
649.053;60.967;26.221;14.988
650.065;60.932;26.221;14.989
651.055;60.927;26.221;14.988
652.062;60.958;26.221;14.988
653.053;60.891;26.222;14.989
654.051;60.868;26.222;14.989
655.062;60.986;26.222;14.99
656.094;60.914;26.223;14.99
657.12;60.884;26.225;14.99
658.121;60.913;26.223;14.99
659.123;60.995;26.223;14.99
660.148;60.843;26.225;14.99
661.144;60.859;26.222;14.989
662.132;60.824;26.224;14.99
663.13;60.851;26.223;14.99
664.129;60.852;26.224;14.99
665.123;60.882;26.225;14.991
666.153;60.774;26.228;14.993
667.158;60.866;26.227;14.992
668.168;60.856;26.228;14.993
669.172;60.858;26.229;14.993
670.183;60.835;26.23;14.995
671.184;60.877;26.229;14.994
672.257;60.864;26.23;14.995
673.253;60.894;26.23;14.995
674.268;60.831;26.235;14.997
675.288;60.83;26.234;14.998
676.283;60.818;26.234;14.998
677.335;60.794;26.236;14.998
678.319;60.806;26.237;15
679.324;60.81;26.238;15
680.317;60.86;26.24;15.002
681.347;60.859;26.239;15.002
682.364;60.806;26.239;15.001
683.409;60.831;26.24;15.002
684.409;60.839;26.239;15.001
685.448;60.745;26.24;15.002
686.454;60.732;26.242;15.003
687.452;60.837;26.241;15.002
688.46;60.779;26.242;15.002
689.438;60.815;26.242;15.003
690.436;60.736;26.242;15.003
691.431;60.693;26.245;15.005
692.461;60.826;26.245;15.006
693.456;60.799;26.247;15.007
694.465;60.737;26.247;15.007
695.453;60.62;26.251;15.009
696.477;60.743;26.247;15.007
697.468;60.727;26.247;15.007
698.471;60.656;26.25;15.008
699.489;60.778;26.248;15.007
700.491;60.718;26.248;15.007
701.486;60.799;26.249;15.008
702.479;60.754;26.251;15.009
703.479;60.728;26.251;15.009
704.488;60.713;26.253;15.011
705.5;60.785;26.251;15.009
706.502;60.633;26.254;15.011
707.519;60.664;26.252;15.01
708.538;60.737;26.249;15.008
709.541;60.755;26.25;15.009
710.571;60.617;26.253;15.01
711.561;60.727;26.252;15.01
712.556;60.645;26.255;15.012
713.594;60.687;26.255;15.012
714.596;60.638;26.254;15.012
715.655;60.693;26.254;15.011
716.668;60.75;26.253;15.011
717.663;60.6;26.254;15.011
718.678;60.693;26.253;15.01
719.662;60.685;26.254;15.011
720.676;60.674;26.253;15.011
721.682;60.549;26.257;15.013
722.667;60.03;26.249;15.006
723.649;60.582;26.243;15.003
724.642;60.659;26.241;15
725.648;60.646;26.242;15.002
726.642;60.632;26.24;15.001
727.64;60.52;26.241;15
728.637;60.67;26.24;15.001
729.621;60.538;26.242;15.001
730.611;60.608;26.239;15
731.603;60.615;26.242;15.002
732.603;60.647;26.242;15.002
733.605;60.653;26.242;15.002
734.597;60.492;26.244;15.003
735.599;60.609;26.245;15.004
736.593;60.503;26.243;15.002
737.578;60.613;26.244;15.004
738.579;60.534;26.244;15.003
739.583;60.544;26.245;15.004
740.594;60.639;26.245;15.004
741.615;60.591;26.243;15.003
742.607;60.577;26.244;15.003
743.607;60.569;26.245;15.004
744.611;60.547;26.246;15.005
745.622;60.446;26.248;15.005
746.609;60.525;26.249;15.007
747.616;60.615;26.246;15.005
748.601;60.527;26.246;15.004
749.611;60.569;26.248;15.006
750.618;60.541;26.249;15.007
751.596;60.566;26.247;15.006
752.607;60.472;26.252;15.009
753.605;60.499;26.252;15.01
754.595;60.492;26.251;15.009
755.612;60.385;26.253;15.009
756.606;60.495;26.235;14.997
757.613;60.527;26.229;14.991
758.613;60.443;26.228;14.99
759.603;60.473;26.228;14.99
760.594;60.549;26.224;14.988
761.594;60.383;26.229;14.99
762.579;60.434;26.229;14.99
763.586;60.48;26.226;14.989
764.566;60.541;26.226;14.989
765.566;60.484;26.225;14.988
766.559;60.505;26.224;14.988
767.541;60.408;26.225;14.988
768.57;60.511;26.225;14.988
769.58;60.516;26.224;14.988
770.583;60.429;26.224;14.987
771.596;60.493;26.223;14.987
772.606;60.449;26.223;14.986
773.634;60.514;26.22;14.985
774.651;60.459;26.219;14.984
775.651;60.406;26.221;14.985
776.643;60.376;26.222;14.985
777.658;60.48;26.222;14.986
778.648;60.466;26.223;14.986
779.634;60.382;26.224;14.987
780.632;60.412;26.223;14.986
781.654;60.367;26.224;14.987
782.643;60.419;26.224;14.987
783.678;60.397;26.225;14.987
784.701;60.454;26.223;14.986
785.71;60.493;26.223;14.987
786.708;60.379;26.225;14.988
787.709;60.416;26.225;14.988
788.714;60.311;26.226;14.988
789.705;60.39;26.228;14.99
790.71;60.398;26.23;14.991
791.755;60.371;26.231;14.992
792.761;60.414;26.232;14.993
793.762;60.365;26.232;14.993
794.764;60.384;26.228;14.99
795.774;60.407;26.228;14.99
796.771;60.336;26.229;14.99
797.837;60.49;26.228;14.99
798.827;60.337;26.23;14.991
799.826;60.337;26.227;14.989
800.844;60.341;26.227;14.988
801.836;60.327;26.225;14.987
802.822;60.387;26.226;14.988
803.811;60.317;26.228;14.99
804.828;60.569;26.224;14.988
805.822;60.322;26.228;14.99
806.808;60.373;26.228;14.99
807.79;60.288;26.232;14.992
808.781;60.325;26.231;14.992
809.785;60.342;26.234;14.994
810.78;60.417;26.233;14.994
811.801;60.232;26.238;14.997
812.811;60.356;26.235;14.996
813.801;60.156;26.242;14.999
814.801;60.28;26.239;14.998
815.798;60.342;26.24;14.999
816.814;60.3;26.242;15
817.823;60.377;26.24;14.999
818.814;60.127;26.245;15.001
819.81;60.254;26.243;15.001
820.826;60.227;26.244;15.001
821.853;60.265;26.245;15.002
822.84;60.269;26.246;15.004
823.839;60.115;26.248;15.004
824.813;60.288;26.245;15.002
825.821;60.251;26.247;15.003
826.821;60.235;26.243;15.001
827.804;60.22;26.245;15.002
828.797;60.346;26.246;15.003
829.824;60.188;26.248;15.004
830.822;60.344;26.25;15.006
831.803;60.154;26.251;15.007
832.795;60.382;26.246;15.003
833.808;60.521;26.244;15.003
834.791;60.21;26.252;15.008
835.767;60.113;26.252;15.007
836.825;60.486;26.248;15.006
837.829;59.922;26.259;15.011
838.839;60.094;26.257;15.01
839.852;60.034;26.26;15.013
840.892;60.221;26.256;15.011
841.878;60.106;26.258;15.012
842.878;60.151;26.256;15.01
843.885;60.169;26.255;15.01
844.899;60.08;26.256;15.01
845.915;60.256;26.253;15.008
846.931;60.143;26.257;15.011
