"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"1.1246e+06","2.3627e-12","2.3827e-12","1.8261e-07","1.8275e-07","1.7143e+00","7.1870e-01","3.6850e-05"," 0.01 %"
"1.4171e+06","2.3627e-12","2.3827e-12","1.4491e-07","1.4503e-07","2.0000e+00","7.1870e-01","4.1777e-05"," 0.01 %"
"5.0887e+05","2.3873e-12","2.4075e-12","4.0776e-07","4.0808e-07","1.0000e+00","7.1870e-01","8.1904e-04"," 0.19 %"
"1.2879e+06","2.3873e-12","2.4075e-12","1.6112e-07","1.6124e-07","1.8571e+00","7.1870e-01","4.7193e-05"," 0.01 %"
"1.4393e+06","2.3873e-12","2.4075e-12","1.4417e-07","1.4428e-07","2.0000e+00","7.1870e-01","4.4198e-05"," 0.01 %"
"1.4616e+06","2.4119e-12","2.4323e-12","1.4343e-07","1.4354e-07","2.0000e+00","7.1870e-01","1.3448e-04"," 0.03 %"
"7.6492e+05","2.4365e-12","2.4571e-12","2.7686e-07","2.7707e-07","1.2857e+00","7.1870e-01","3.1519e-05"," 0.01 %"
"8.9588e+05","2.4365e-12","2.4571e-12","2.3639e-07","2.3657e-07","1.4286e+00","7.1870e-01","1.7609e-04"," 0.04 %"
"1.0336e+06","2.4365e-12","2.4571e-12","2.0490e-07","2.0505e-07","1.5714e+00","7.1870e-01","1.1723e-05"," 0.00 %"
"1.4840e+06","2.4365e-12","2.4571e-12","1.4270e-07","1.4281e-07","2.0000e+00","7.1870e-01","9.0094e-05"," 0.02 %"
"5.3265e+05","2.4611e-12","2.4819e-12","4.0160e-07","4.0191e-07","1.0000e+00","7.1870e-01","3.7959e-04"," 0.09 %"
"9.0948e+05","2.4611e-12","2.4819e-12","2.3520e-07","2.3538e-07","1.4286e+00","7.1870e-01","9.4913e-06"," 0.00 %"
"1.0493e+06","2.4611e-12","2.4819e-12","2.0387e-07","2.0403e-07","1.5714e+00","7.1870e-01","1.4258e-05"," 0.00 %"
"1.3481e+06","2.4611e-12","2.4819e-12","1.5868e-07","1.5880e-07","1.8571e+00","7.1870e-01","3.4847e-05"," 0.01 %"
"1.5066e+06","2.4611e-12","2.4819e-12","1.4199e-07","1.4210e-07","2.0000e+00","7.1870e-01","8.0216e-05"," 0.02 %"
