IDs:;240716_12_240712J;12_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
684.151;71.464;50.425;38.942
685.143;71.495;50.427;38.944
686.14;71.481;50.426;38.944
687.148;71.501;50.426;38.944
688.149;71.485;50.426;38.945
689.147;71.467;50.425;38.943
690.159;71.469;50.423;38.941
691.146;71.461;50.425;38.942
692.15;71.447;50.421;38.939
693.148;71.502;50.424;38.943
694.147;71.453;50.42;38.939
695.157;71.473;50.425;38.943
696.154;71.476;50.425;38.943
697.157;71.465;50.421;38.939
698.144;71.486;50.425;38.943
699.14;71.488;50.421;38.939
700.145;71.45;50.422;38.94
701.156;71.466;50.423;38.941
702.138;71.494;50.422;38.94
703.121;71.454;50.42;38.938
704.11;71.483;50.424;38.942
705.106;71.449;50.421;38.939
706.107;71.493;50.422;38.94
707.1;71.443;50.42;38.938
708.094;71.497;50.421;38.94
709.102;71.453;50.418;38.936
710.114;71.481;50.418;38.936
711.132;71.44;50.417;38.935
712.137;71.453;50.419;38.937
713.13;71.479;50.42;38.938
714.12;71.488;50.422;38.94
715.134;71.471;50.422;38.939
716.121;71.491;50.42;38.938
717.117;71.474;50.422;38.939
718.105;71.483;50.419;38.937
719.109;71.496;50.421;38.94
720.11;71.478;50.419;38.937
721.11;71.466;50.422;38.939
722.102;71.483;50.418;38.937
723.11;71.442;50.418;38.936
724.1;71.485;50.419;38.937
725.096;71.473;50.417;38.935
726.078;71.447;50.416;38.934
727.074;71.467;50.416;38.935
728.076;71.468;50.417;38.935
729.066;71.459;50.415;38.933
730.059;71.499;50.419;38.938
731.064;71.423;50.414;38.932
732.074;71.433;50.418;38.936
733.08;71.445;50.414;38.932
734.071;71.466;50.418;38.935
735.063;71.494;50.418;38.936
736.063;71.447;50.414;38.932
737.074;71.503;50.415;38.934
738.058;71.464;50.418;38.935
739.051;71.493;50.417;38.935
740.055;71.46;50.414;38.932
741.061;71.442;50.414;38.932
742.043;71.448;50.412;38.93
743.035;71.491;50.415;38.934
744.028;71.467;50.413;38.932
745.028;71.473;50.414;38.932
746.022;71.461;50.414;38.932
747.038;71.449;50.411;38.929
748.059;71.47;50.414;38.932
749.049;71.492;50.414;38.932
750.039;71.473;50.414;38.932
751.053;71.459;50.412;38.93
752.062;71.481;50.415;38.933
753.062;71.469;50.412;38.93
754.055;71.491;50.414;38.932
755.065;71.457;50.412;38.93
756.041;71.469;50.411;38.929
757.044;71.461;50.414;38.932
758.056;71.456;50.411;38.929
759.06;71.449;50.411;38.929
760.049;71.448;50.41;38.929
761.035;71.473;50.41;38.928
762.03;71.446;50.406;38.925
763.026;71.442;50.408;38.927
764.007;71.474;50.41;38.928
765.024;71.467;50.407;38.926
766.018;71.46;50.409;38.928
767.019;71.479;50.408;38.927
768.027;71.46;50.409;38.928
769.027;71.462;50.407;38.925
770.023;71.472;50.409;38.928
771.023;71.46;50.406;38.925
772.035;71.432;50.406;38.924
773.022;71.475;50.408;38.927
774.041;71.444;50.406;38.924
775.038;71.464;50.408;38.926
776.037;71.461;50.408;38.924
777.05;71.441;50.405;38.924
778.068;71.443;50.403;38.922
779.086;71.46;50.405;38.923
780.083;71.464;50.403;38.922
781.08;71.487;50.407;38.925
782.072;71.457;50.406;38.924
783.064;71.44;50.404;38.922
784.072;71.468;50.406;38.924
785.07;71.433;50.401;38.919
786.063;71.466;50.408;38.926
787.04;71.479;50.405;38.924
788.043;71.465;50.405;38.923
789.034;71.423;50.401;38.919
790.014;71.459;50.405;38.923
791.023;71.442;50.401;38.92
792.02;71.467;50.406;38.924
793.021;71.447;50.401;38.919
794.014;71.442;50.401;38.92
795.017;71.444;50.402;38.92
796;71.452;50.404;38.922
796.988;71.472;50.403;38.921
798.012;71.443;50.402;38.921
799.014;71.446;50.402;38.92
800.026;71.488;50.404;38.923
801.014;71.43;50.399;38.917
802.011;71.465;50.406;38.923
803.015;71.434;50.399;38.917
804.022;71.44;50.4;38.919
805.034;71.458;50.403;38.921
806.02;71.437;50.401;38.919
807.007;71.474;50.403;38.921
808.007;71.431;50.397;38.916
809.011;71.464;50.403;38.921
810.027;71.431;50.4;38.918
811.02;71.441;50.402;38.92
812.015;71.48;50.402;38.92
813.005;71.448;50.4;38.919
814.018;71.45;50.401;38.92
815.023;71.463;50.399;38.917
816.007;71.456;50.402;38.92
817.001;71.42;50.397;38.916
818.001;71.435;50.401;38.919
818.991;71.451;50.4;38.917
819.992;71.415;50.397;38.915
821;71.47;50.399;38.918
822.003;71.444;50.398;38.917
823.015;71.446;50.394;38.914
824.007;71.446;50.398;38.916
825.009;71.457;50.396;38.915
826.017;71.456;50.398;38.917
827.002;71.424;50.397;38.916
827.999;71.423;50.398;38.916
829.002;71.457;50.399;38.917
829.985;71.436;50.399;38.917
830.996;71.435;50.399;38.915
831.983;71.483;50.398;38.917
832.976;71.441;50.397;38.916
833.972;71.454;50.396;38.914
834.972;71.44;50.396;38.915
835.978;71.458;50.397;38.915
836.997;71.464;50.397;38.916
837.986;71.437;50.393;38.912
838.988;71.435;50.397;38.915
839.992;71.443;50.393;38.912
841.004;71.444;50.397;38.915
842.003;71.426;50.392;38.911
842.996;71.435;50.392;38.911
843.993;71.435;50.394;38.913
844.999;71.436;50.392;38.911
845.987;71.426;50.39;38.908
846.983;71.466;50.394;38.913
847.975;71.435;50.392;38.911
848.976;71.448;50.394;38.912
849.975;71.425;50.391;38.91
850.988;71.417;50.389;38.907
