IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
743.824;57.069;51.791;38.959
744.817;57.055;51.793;38.96
745.815;57.061;51.792;38.96
746.817;57.068;51.792;38.958
747.808;57.052;51.793;38.959
748.809;57.062;51.791;38.957
749.812;57.047;51.794;38.961
750.819;57.063;51.794;38.959
751.817;57.044;51.793;38.958
752.81;57.051;51.794;38.958
753.805;57.059;51.795;38.959
754.805;57.043;51.793;38.956
755.788;57.031;51.797;38.961
756.772;57.036;51.795;38.958
757.774;57.038;51.793;38.954
758.765;57.02;51.796;38.959
759.768;57.031;51.795;38.956
760.763;57.02;51.795;38.956
761.771;57.022;51.797;38.957
762.779;57.032;51.796;38.955
763.774;57.007;51.798;38.959
764.782;57.028;51.794;38.953
765.783;57.018;51.797;38.955
766.785;57.022;51.794;38.953
767.792;57.025;51.796;38.953
768.782;57.014;51.8;38.956
769.78;57.007;51.798;38.954
770.771;57.008;51.798;38.955
771.766;57.004;51.798;38.954
772.77;57.004;51.797;38.952
773.784;57.007;51.797;38.952
774.774;57;51.797;38.952
775.768;56.997;51.798;38.953
776.776;57.002;51.797;38.951
777.754;56.992;51.798;38.953
778.735;56.995;51.796;38.95
779.755;56.99;51.798;38.95
780.758;56.99;51.799;38.951
781.767;56.995;51.798;38.95
782.78;56.989;51.8;38.952
783.77;56.991;51.8;38.952
784.79;56.988;51.799;38.95
785.781;56.981;51.799;38.949
786.778;56.967;51.8;38.951
787.778;56.974;51.8;38.949
788.783;56.968;51.799;38.949
789.788;56.965;51.8;38.95
790.781;56.976;51.8;38.948
791.776;56.975;51.8;38.949
792.775;56.975;51.799;38.947
793.771;56.973;51.8;38.947
794.774;56.964;51.802;38.95
795.762;56.966;51.802;38.948
796.742;56.962;51.801;38.947
797.729;56.961;51.802;38.947
798.725;56.96;51.801;38.946
799.722;56.957;51.802;38.946
800.72;56.953;51.801;38.946
801.732;56.948;51.804;38.951
802.72;56.934;51.804;38.948
803.726;56.946;51.804;38.949
804.714;56.943;51.804;38.948
805.715;56.946;51.803;38.946
806.723;56.941;51.804;38.947
807.737;56.943;51.804;38.947
808.729;56.935;51.806;38.948
809.73;56.934;51.803;38.945
810.71;56.933;51.804;38.945
811.701;56.933;51.805;38.946
812.694;56.934;51.804;38.945
813.693;56.92;51.807;38.946
814.675;56.925;51.805;38.945
815.692;56.927;51.804;38.942
816.682;56.92;51.805;38.943
