"q (Å^-1)"	"Intensity (cm^-1) AB 20-34 5 mM"	"Intensity (cm^-1) Monomer random coil model"	"Intensity (cm^-1) low q slope"
1.220523000	-0.00202208000000	0.00010954404890	
1.213280000	-0.00251029000000	0.00011084688626	
1.206037000	-0.00161490000000	0.00011217304895	
1.198795000	-0.00219531000000	0.00011352290765	
1.191552000	-0.00195349000000	0.00011489741062	
1.184310000	-0.00170821000000	0.00011629677106	
1.177067000	-0.00215980000000	0.00011772198632	
1.169824000	-0.00140689000000	0.00011917349455	
1.162582000	-0.00174694000000	0.00012065173876	
1.155339000	-0.00178434000000	0.00012215779621	
1.148097000	-0.00154947000000	0.00012369194078	
1.140854000	-0.00115386000000	0.00012525530764	
1.133611000	-0.00215741000000	0.00012684842092	
1.126369000	-0.00127710000000	0.00012847181163	
1.119126000	-0.00154877000000	0.00013012670946	
1.111884000	-0.00188186000000	0.00013181346380	
1.104641000	-0.00134038000000	0.00013353337305	
1.097398000	-0.00136163000000	0.00013528706628	
1.090156000	-0.00170553000000	0.00013707518208	
1.082913000	-0.00130760000000	0.00013889913133	
1.075671000	-0.00112549000000	0.00014075935771	
1.068428000	-0.00110989000000	0.00014265735411	
1.061185000	-0.00139375000000	0.00014459387837	
1.053943000	-0.00075748000000	0.00014656970129	
1.046700000	-0.00093241000000	0.00014858645047	
1.039458000	-0.00190868000000	0.00015064468784	
1.032215000	-0.00131722000000	0.00015274613948	
1.024972000	-0.00098647000000	0.00015489172213	
1.017730000	-0.00109578000000	0.00015708237005	
1.010487000	-0.00103693000000	0.00015931997172	
1.003245000	-0.00144545000000	0.00016160523807	
0.996002000	-0.00089408000000	0.00016394017671	
0.988759400	-0.00140655000000	0.00016632576845	
0.981516800	-0.00167152000000	0.00016876361848	
0.974274200	-0.00122658000000	0.00017125525833	
0.967031600	-0.00146651000000	0.00017380227581	
0.959789000	-0.00042769000000	0.00017640631753	
0.952546400	-0.00110513000000	0.00017906909146	
0.945303800	-0.00192107000000	0.00018179236972	
0.938061200	-0.00056838000000	0.00018457799148	
0.930818600	-0.00115578000000	0.00018742786599	
0.923576000	-0.00073822000000	0.00019034397582	
0.916333400	-0.00073684000000	0.00019332838023	
0.909090800	-0.00121616000000	0.00019638321873	
0.901848200	-0.00127841000000	0.00019951071489	
0.894605600	-0.00008894000000	0.00020271318024	
0.887363000	-0.00009354000000	0.00020599301851	
0.880120400	-0.00029015000000	0.00020935273005	
0.872877800	-0.00089147000000	0.00021279491647	
0.865635200	-0.00092054000000	0.00021632228559	
0.858392500	-0.00093920000000	0.00021993770721	
0.851149900	-0.00018902000000	0.00022364401772	
0.843907300	-0.00033803000000	0.00022744432539	
0.836664700	0.00010863000000	0.00023134181812	
0.829422100	-0.00003351000000	0.00023533981930	
0.822179500	0.00033036000000	0.00023944179472	
0.814936900	-0.00067258000000	0.00024365135990	
0.807694300	-0.00101545000000	0.00024797228787	
0.800451700	-0.00089406000000	0.00025240851742	
0.793209100	-0.00048405000000	0.00025696416184	
0.785966500	0.00020129000000	0.00026164351821	
0.778723900	0.00058905000000	0.00026645107730	
0.771481300	-0.00029690000000	0.00027139153399	
0.764238700	0.00012447000000	0.00027646979849	
0.756996100	-0.00008084000000	0.00028169100813	
0.749753500	0.00018982000000	0.00028706054004	
0.742510900	-0.00011870000000	0.00029258402453	
0.735268300	-0.00032985000000	0.00029826735945	
0.728025700	-0.00080666000000	0.00030411672540	
0.720783100	-0.00047371000000	0.00031013860203	
0.713540500	-0.00073353000000	0.00031633978539	
0.706297900	-0.00002525000000	0.00032272740648	
0.699055300	0.00029370000000	0.00032930895101	
0.691812700	-0.00078745000000	0.00033609228058	
0.684570100	-0.00016131000000	0.00034308565530	
0.677327500	0.00046652000000	0.00035029775801	
0.670084900	-0.00013658000000	0.00035773772017	
0.662842300	0.00040859000000	0.00036541514967	
0.655599700	-0.00013327000000	0.00037334016053	
0.648357100	0.00065955000000	0.00038152340488	
0.641114500	-0.00008141000000	0.00038997610716	
0.633871900	0.00066558000000	0.00039871010093	
0.626629300	0.00014833000000	0.00040773786841	
0.619386700	0.00072966000000	0.00041707258291	
0.612144100	0.00076363000000	0.00042672815462	
0.604901500	0.00051241000000	0.00043671927974	
0.597658900	0.00039351000000	0.00044706149356	
0.590416200	0.00052118000000	0.00045777137805	
0.583173600	-0.00036018000000	0.00046886602697	
0.575931000	0.00090987000000	0.00048036399927	
0.568688400	0.00103140000000	0.00049228480476	
0.561445800	0.00030138000000	0.00050464912704	
0.557968900	0.00047149000000	0.00051074873123	
0.556074400	-0.00064100000000	0.00051411833795	
0.554179900	-0.00029322000000	0.00051752095766	
0.552285400	-0.00153182000000	0.00052095701642	
0.550390900	0.00011352000000	0.00052442694708	
0.548496400	-0.00035390000000	0.00052793118934	
0.546601900	0.00034401000000	0.00053147018996	
0.544707400	0.00004431000000	0.00053504440284	
0.542812900	-0.00037295000000	0.00053865428917	
0.540918400	0.00007110000000	0.00054230031760	
0.539023900	0.00129671000000	0.00054598296430	
0.537129400	-0.00017547000000	0.00054970271320	
0.535234900	0.00047675000000	0.00055346005606	
0.533340400	0.00041622000000	0.00055725549266	
0.531445900	-0.00060080000000	0.00056108953094	
0.529551400	0.00019934000000	0.00056496268717	
0.527656900	-0.00132665000000	0.00056887548609	
0.525762400	-0.00107194000000	0.00057282846108	
