"Time (h)"	"Time (h)"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"
46.65000000							0.15490756137723									
46.75000000							0.15423702848994									
46.85000000							0.15356939734204									
46.95000000							0.15290465539792									
47.05000000							0.15224279017560									
47.15000000							0.15158378924637									
47.25000000							0.15092764023481									
47.35000000							0.15027433081778									
47.45000000							0.14962384872529									
47.55000000							0.14897618174018									
47.65000000							0.14833131769619									
47.75000000							0.14768924448077									
47.85000000							0.14704995003177									
47.95000000							0.14641342234016									
48.05000000							0.14577964944647									
48.15000000							0.14514861944463									
48.25000000							0.14452032047723									
48.35000000							0.14389474074000									
48.45000000							0.14327186847719									
48.55000000							0.14265169198495									
48.65000000							0.14203419960919									
48.75000000							0.14141937974533									
48.85000000							0.14080722083897									
48.95000000							0.14019771138595									
49.05000000							0.13959083992995									
49.15000000							0.13898659506513									
49.25000000							0.13838496543458									
49.35000000							0.13778593972872									
49.45000000							0.13718950668915									
49.55000000							0.13659565510332									
49.65000000							0.13600437380791									
49.75000000							0.13541565168865									
49.85000000							0.13482947767633									
49.95000000							0.13424584075265									
50.05000000							0.13366472994341									
50.15000000							0.13308613432493									
50.25000000							0.13251004301781									
50.35000000							0.13193644519056									
50.45000000							0.13136533005888									
50.55000000							0.13079668688342									
50.65000000							0.13023050497225									
50.75000000							0.12966677368010									
50.85000000							0.12910548240458									
50.95000000							0.12854662059310									
51.05000000							0.12799017773449									
51.15000000							0.12743614336609									
51.25000000							0.12688450706842									
51.35000000							0.12633525846732									
51.45000000							0.12578838723416									
51.55000000							0.12524388308297									
51.65000000							0.12470173577460									
51.75000000							0.12416193511265									
51.85000000							0.12362447094275									
51.95000000							0.12308933315955									
52.05000000							0.12255651169438									
52.15000000							0.12202599652957									
52.25000000							0.12149777768281									
52.35000000							0.12097184522281									
52.45000000							0.12044818925299									
52.55000000							0.11992679992706									
52.65000000							0.11940766743598									
52.75000000							0.11889078201457									
52.85000000							0.11837613394121									
52.95000000							0.11786371353364									
53.05000000							0.11735351115407									
53.15000000							0.11684551720420									
53.25000000							0.11633972212833									
53.35000000							0.11583611641160									
53.45000000							0.11533469057974									
53.55000000							0.11483543520169									
53.65000000							0.11433834088272									
53.75000000							0.11384339827340									
53.85000000							0.11335059806263									
53.95000000							0.11285993097694									
54.05000000							0.11237138778846									
54.15000000							0.11188495930482									
54.25000000							0.11140063637528									
54.35000000							0.11091840988733									
54.45000000							0.11043827076758									
54.55000000							0.10996020998621									
54.65000000							0.10948421854531									
54.75000000							0.10901028749097									
54.85000000							0.10853840790734									
54.95000000							0.10806857091646									
55.05000000							0.10760076767521									
55.15000000							0.10713498938680									
55.25000000							0.10667122728524									
55.35000000							0.10620947264413									
55.45000000							0.10574971677692									
55.55000000							0.10529195103274									
55.65000000							0.10483616679974									
55.75000000							0.10438235550000									
55.85000000							0.10393050859561									
55.95000000							0.10348061758566									
56.05000000							0.10303267400469									
56.15000000							0.10258666942282									
56.25000000							0.10214259545122									
56.35000000							0.10170044373129									
56.45000000							0.10126020594423									
56.55000000							0.10082187380857									
56.65000000							0.10038543907237									
56.75000000							0.09995089352596									
56.85000000							0.09951822899472									
56.95000000							0.09908743733200									
57.05000000							0.09865851043612									
57.15000000							0.09823144023552									
57.25000000							0.09780621869342									
57.35000000							0.09738283780663									
57.45000000							0.09696128961263									
57.55000000							0.09654156617346									
57.65000000							0.09612365959637									
57.75000000							0.09570756201643									
57.85000000							0.09529326560151									
57.95000000							0.09488076255627									
58.05000000							0.09447004512072									
58.15000000							0.09406110556611									
58.25000000							0.09365393619339									
58.35000000							0.09324852934189									
58.45000000							0.09284487738578									
58.55000000							0.09244297272792									
58.65000000							0.09204280780351									
58.75000000							0.09164437508585									
58.85000000							0.09124766707449									
58.95000000							0.09085267630370									
59.05000000							0.09045939534152									
59.15000000							0.09006781678664									
59.25000000							0.08967793327495									
59.35000000							0.08928973746014									
59.45000000							0.08890322205057									
59.55000000							0.08851837975420									
59.65000000							0.08813520334920									
59.75000000							0.08775368561180									
59.85000000							0.08737381936279									
59.95000000							0.08699559745925									
60.05000000							0.08661901278471									
60.15000000							0.08624405824193									
60.25000000							0.08587072678633									
60.35000000							0.08549901138837									
60.45000000							0.08512890505104									
60.55000000							0.08476040081091									
60.65000000							0.08439349173387									
60.75000000							0.08402817091642									
60.85000000							0.08366443147476									
60.95000000							0.08330226657568									
61.05000000							0.08294166939910									
61.15000000							0.08258263316124									
61.25000000							0.08222515109685									
61.35000000							0.08186921649365									
61.45000000							0.08151482263213									
61.55000000							0.08116196286512									
61.65000000							0.08081063054146									
61.75000000							0.08046081904487									
61.85000000							0.08011252180231									
61.95000000							0.07976573225654									
62.05000000							0.07942044386996									
62.15000000							0.07907665016356									
62.25000000							0.07873434465766									
62.35000000							0.07839352090604									
62.45000000							0.07805417250494									
62.55000000							0.07771629305339									
62.65000000							0.07737987621674									
62.75000000							0.07704491563117									
62.85000000							0.07671140502631									
62.95000000							0.07637933810400									
63.05000000							0.07604870861812									
63.15000000							0.07571951036163									
63.25000000							0.07539173711348									
63.35000000							0.07506538273247									
63.45000000							0.07474044104782									
63.55000000							0.07441690597757									
63.65000000							0.07409477140248									
63.75000000							0.07377403127495									
63.85000000							0.07345467957045									
63.95000000							0.07313671024559									
64.05000000							0.07282011735343									
64.15000000							0.07250489490673									
64.25000000							0.07219103700134									
64.35000000							0.07187853769760									
64.45000000							0.07156739114743									
64.55000000							0.07125759146505									
64.65000000							0.07094913284099									
64.75000000							0.07064200947269									
64.85000000							0.07033621555931									
64.95000000							0.07003174536053									
65.05000000							0.06972859315401									
65.15000000							0.06942675320607									
65.25000000							0.06912621987849									
65.35000000							0.06882698747078									
65.45000000							0.06852905038027									
65.55000000							0.06823240299203									
65.65000000							0.06793703972656									
65.75000000							0.06764295502166									
65.85000000							0.06735014334443									
65.95000000							0.06705859916902									
66.05000000							0.06676831705733									
66.15000000							0.06647929146562									
66.25000000							0.06619151705031									
66.35000000							0.06590498829386									
66.45000000							0.06561969990326									
66.55000000							0.06533564643813									
66.65000000							0.06505282257496									
66.75000000							0.06477122300035									
66.85000000							0.06449084241268									
66.95000000							0.06421167550976									
67.05000000							0.06393371708401									
67.15000000							0.06365696186565									
67.25000000							0.06338140465946									
67.35000000							0.06310704028469									
67.45000000							0.06283386357029									
67.55000000							0.06256186937482									
67.65000000							0.06229105257172									
67.75000000							0.06202140808530									
67.85000000							0.06175293084951									
67.95000000							0.06148561575927									
68.05000000							0.06121945782565									
68.15000000							0.06095445204777									
68.25000000							0.06069059340152									
68.35000000							0.06042787695785									
68.45000000							0.06016629773118									
68.55000000							0.05990585086941									
68.65000000							0.05964653135917									
68.75000000							0.05938833445516									
68.85000000							0.05913125517588									
68.95000000							0.05887528877125									
69.05000000							0.05862043036936									
69.15000000							0.05836667519308									
69.25000000							0.05811401847469									
69.35000000							0.05786245544789									
69.45000000							0.05761198138356									
69.55000000							0.05736259157364									
69.65000000							0.05711428130897									
69.75000000							0.05686704592524									
69.85000000							0.05662088076745									
69.95000000							0.05637578120656									
70.05000000							0.05613174263918									
70.15000000							0.05588876044436									
70.25000000							0.05564683008406									
70.35000000							0.05540594698225									
70.45000000							0.05516610661005									
70.55000000							0.05492730442526									
70.65000000							0.05468953600764									
70.75000000							0.05445279682500									
70.85000000							0.05421708239251									
70.95000000							0.05398238837796									
71.05000000							0.05374871028690									
71.15000000							0.05351604370981									
71.25000000							0.05328438431989									
71.35000000							0.05305372774408									
71.45000000							0.05282406958533									
71.55000000							0.05259540559428									
71.65000000							0.05236773147058									
71.75000000							0.05214104281775									
71.85000000							0.05191533552752									
71.95000000							0.05169060524476									
72.05000000							0.05146684777861									
72.15000000							0.05124405890299									
72.25000000							0.05102223442697									
72.35000000							0.05080137019121									
72.45000000							0.05058146205073									
72.55000000							0.05036250580378									
72.65000000							0.05014449735564									
72.75000000							0.04992743268629									
72.85000000							0.04971130757788									
72.95000000							0.04949611807526									
