"q (Å^-1)"	"Intensity (cm-1) 1000 nM JB6"	"Intensity (cm-1) 300 nM JB6"	"Intensity (cm-1) 0 nM JB6"
0.5371294000	0.00074498000000	0.00055917000000	-0.00017547000000
0.5352349000	0.00120384000000	0.00037154000000	0.00047675000000
0.5333404000	0.00113159000000	0.00001227000000	0.00041622000000
0.5314459000	-0.00084371000000	-0.00005360000000	-0.00060080000000
0.5295514000	-0.00036659000000	-0.00028803000000	0.00019934000000
0.5276569000	-0.00053239000000	-0.00099548000000	-0.00132665000000
0.5257624000	-0.00003306000000	-0.00025246000000	-0.00107194000000
0.5238679000	0.00018117000000	0.00074871000000	-0.00054862000000
0.5219734000	0.00113663000000	-0.00000569000000	0.00086712000000
0.5200788000	0.00000260000000	0.00040494000000	-0.00088117000000
0.5181843000	0.00024347000000	0.00032689000000	0.00000322000000
0.5162898000	-0.00072788000000	-0.00006619000000	-0.00025022000000
0.5143953000	0.00117013000000	0.00030028000000	0.00107661000000
0.5125008000	0.00002118000000	0.00025694000000	0.00008860000000
0.5106063000	-0.00052691000000	-0.00128685000000	-0.00083073000000
0.5087118000	0.00071012000000	-0.00050886000000	0.00064941000000
0.5068173000	-0.00024464000000	-0.00015189000000	0.00030572000000
0.5049228000	0.00133615000000	-0.00024115000000	0.00043269000000
0.5030283000	0.00099691000000	-0.00076461000000	-0.00065347000000
0.5011338000	0.00186499000000	0.00037431000000	0.00031896000000
0.4992393000	0.00065608000000	-0.00032230000000	0.00043278000000
0.4973448000	0.00087918000000	-0.00036415000000	-0.00020275000000
0.4954503000	0.00132184000000	0.00062713000000	0.00078503000000
0.4935558000	0.00156142000000	0.00076224000000	0.00008483000000
0.4916613000	0.00081989000000	-0.00075010000000	-0.00016350000000
0.4897668000	0.00132857000000	0.00040644000000	0.00031155000000
0.4878723000	0.00071616000000	0.00086385000000	0.00115587000000
0.4859778000	0.00042768000000	-0.00083888000000	0.00007417000000
0.4840833000	0.00028876000000	0.00062038000000	0.00013078000000
0.4821888000	0.00032931000000	-0.00038005000000	0.00009016000000
0.4802943000	0.00015371000000	-0.00058198000000	-0.00024559000000
0.4783998000	-0.00006121000000	-0.00117850000000	-0.00010137000000
0.4765053000	0.00062010000000	-0.00031066000000	0.00046088000000
0.4746108000	0.00087932000000	-0.00062738000000	0.00008786000000
0.4727163000	0.00107932000000	-0.00021358000000	-0.00041363000000
0.4708218000	0.00177993000000	0.00028037000000	0.00030042000000
0.4689273000	0.00033787000000	0.00011904000000	0.00047597000000
0.4670328000	0.00116818000000	0.00049548000000	0.00039387000000
0.4651383000	0.00167121000000	0.00083808000000	0.00125298000000
0.4632437000	0.00038189000000	0.00025326000000	-0.00042266000000
0.4613492000	0.00025294000000	0.00009991000000	0.00001374000000
